sep=;
"Series";"Time";"Value"
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-02T16:11:59-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-02T16:12:55-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-02T19:03:20-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-03T06:03:24-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-03T19:03:28-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-04T06:03:32-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-04T19:03:36-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-05T06:03:41-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-05T19:03:45-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-06T06:03:49-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-06T19:03:53-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-07T08:03:58-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-07T18:04:01-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-08T08:04:06-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-08T17:59:09-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-09T06:04:14-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-09T18:59:18-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-10T06:04:22-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-10T19:04:26-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-11T06:04:29-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-11T08:46:24-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-11T09:16:49-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-11T09:17:18-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-11T19:01:27-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-12T06:01:31-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-12T19:01:35-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-13T06:01:38-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-13T19:01:43-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-14T08:01:47-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-14T18:01:50-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-15T08:01:55-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-15T18:01:58-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-16T06:02:03-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-16T19:02:07-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-17T06:02:11-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-17T07:55:19-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-17T07:56:26-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-17T19:02:15-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-18T06:07:19-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-18T19:02:24-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-19T06:07:27-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-19T19:02:31-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-20T06:02:34-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-20T19:02:40-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-21T08:02:45-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-21T18:02:48-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-22T08:02:53-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-22T18:02:56-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-23T06:03:00-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-23T10:31:41-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-23T19:03:04-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-24T06:08:07-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-24T19:03:12-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-25T06:03:15-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-25T19:03:19-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-30T19:04:17-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-01T06:04:23-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-01T19:04:28-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-02T06:09:33-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-02T19:04:43-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-03T06:09:54-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-03T08:45:43-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-03T12:30:30-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-03T19:00:33-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-04T06:05:37-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-04T19:00:41-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-05T08:05:46-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-05T18:00:49-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-06T08:10:54-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-06T18:00:58-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-07T06:11:02-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-07T19:01:06-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-08T06:06:11-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-08T19:01:15-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-09T06:06:18-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-09T19:01:22-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-10T06:06:26-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-10T19:01:31-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-11T06:01:34-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-11T19:01:39-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-12T08:01:45-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-12T18:06:47-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-13T08:01:52-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-13T18:01:55-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-14T06:01:59-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-14T19:02:03-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-15T06:07:07-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-15T19:02:12-05:00";0
