sep=;
"Series";"Time";"Value"
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-08T06:03:40-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-08T19:08:44-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-09T06:03:47-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-09T19:18:51-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-12T19:14:17-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-13T06:04:21-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-13T19:14:25-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-14T06:04:29-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-14T19:14:33-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T06:04:38-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T12:01:25-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T12:03:16-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T12:11:13-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T12:11:30-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T12:32:11-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T12:33:35-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T12:38:18-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T12:40:19-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T12:48:30-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T13:21:02-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T13:21:36-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T13:21:50-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-15T19:04:42-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-16T06:04:45-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-16T19:09:50-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-17T08:04:54-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-17T18:19:57-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-18T08:05:03-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-18T18:20:06-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-19T06:05:10-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-19T19:20:15-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-20T06:05:19-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-20T07:25:16-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-20T08:41:36-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-20T10:10:36-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-20T19:05:21-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-20T22:40:09-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-20T22:44:45-04:00";0
