sep=;
"Series";"Time";"Value"
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-05T14:00:00-04:00";425.611
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-05T17:00:00-04:00";428.472
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-05T20:00:00-04:00";423.556
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-05T23:00:00-04:00";437.556
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-06T02:00:00-04:00";447.361
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-06T05:00:00-04:00";485.694
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-06T08:00:00-04:00";479.361
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-06T11:00:00-04:00";430.556
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-06T14:00:00-04:00";417.722
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-06T17:00:00-04:00";423.194
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-06T20:00:00-04:00";428.306
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-06T23:00:00-04:00";426
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-07T02:00:00-04:00";430.083
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-07T05:00:00-04:00";446.889
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-07T08:00:00-04:00";442.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-07T11:00:00-04:00";422.028
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-07T14:00:00-04:00";415
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-07T17:00:00-04:00";419.528
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-07T20:00:00-04:00";432.528
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-07T23:00:00-04:00";440.194
