"","equipment","time","MAT","RFNC","SFNC","SFNVFDALA","SFNSTS","RFNSTS","RFNVFDO","SATSP","SAF","SAT","SFNVFDO","SAEnthalpy","MAEnthalpy","totalHeat","fanEnergy"
"105","AHU2E",2021-03-03 04:00:00,66.05000051,0,0,0,0,0,0,55,128.6650009,68.43333181,0,95.0891534400305,92.6485030222655,0.178141094949689,0.809641587720036
"106","AHU2E",2021-03-03 04:30:00,67.30000051,0,0,0,0,0,0,55,175.4616648,79.63333257,0,106.558514218308,93.9285655222655,1.25713507482699,1.1041158036682
"107","AHU2E",2021-03-03 05:00:00,68.51666641,0,0,0,0,0,0,55,191.7350032,89.7166659,0,116.884351714895,95.1744922371605,2.36132915313666,1.20651794447976
"108","AHU2E",2021-03-03 05:30:00,69.95000076,0,0,0,0,0,0,55,198.8583323,94,0,121.2707,96.642298278278,2.77829356725445,1.25134243786984
"109","AHU2E",2021-03-03 06:00:00,60.21666781,0.666666667,0.666666667,0,0.666666667,0.666666667,34,56.66666667,5099.113322,73.18333181,55.90000025,99.9533909400305,86.6748786708305,38.4098131530686,32.0868470610524
"110","AHU2E",2021-03-03 06:30:00,50.66666667,1,1,0,1,1,39.51666768,62.5,5921.588298,55.29999987,70.49999936,81.6399648668735,76.8952000034135,15.9386309904428,37.2623799625459
"111","AHU2E",2021-03-03 07:00:00,50.21666718,1,1,0,1,1,33.68333308,67.5,5530.443359,55.31666629,63.03333346,81.6570321142745,76.434378025679,16.3851085367409,34.8010485419931
"112","AHU2E",2021-03-03 07:30:00,47.06666692,1,1,0,1,1,24.69999981,68,4727.805013,54.7166659,57.31666692,81.042601714895,73.208620259426,21.0106847967936,29.7503402664342
"113","AHU2E",2021-03-03 08:00:00,48.25000064,1,1,0,1,1,25.95000013,68,4789.353271,55.14999962,57.09999847,81.486357110861,74.420413155392,19.1975219368403,30.1376408453015
"114","AHU2E",2021-03-03 08:30:00,48.48333359,1,1,0,1,1,22.58333333,68,4392.103271,54.88333321,55.35000038,81.2132773737005,74.6593577628395,16.3294577990361,27.6378925184681
"115","AHU2E",2021-03-03 09:00:00,52.03333346,1,1,0,1,1,26.44999981,68,4641.33667,55.44999949,54.90000153,81.7935719777345,78.294735129713,9.21223218330324,29.2062267466399
"116","AHU2E",2021-03-03 09:30:00,54.93333308,1,1,0,1,1,28.16666635,68,4795.963379,56.38333257,54.90000153,82.7493517183085,81.264479740574,4.03982898822176,30.1792358268324
"117","AHU2E",2021-03-03 10:00:00,57.73333295,1,1,0,1,1,27.41666635,68,4672.361735,58.43333308,54.90000153,84.848654740574,84.1318196074475,1.90000110126006,29.4014560841443
"118","AHU2E",2021-03-03 10:30:00,58.51666641,1,1,0,1,1,22.68333308,68,4232.896566,59.65000025,54.48333359,86.0945827560125,84.9339922371605,2.78685765182333,26.6360632058328
"119","AHU2E",2021-03-03 11:00:00,58.60000038,1,1,0,1,1,21.06666692,68,4166.773275,59.41666603,53.70000013,85.8556368480215,85.019330389139,1.97680318647197,26.2199736248586
"120","AHU2E",2021-03-03 11:30:00,60.03333282,1,1,0,1,1,22.63333289,68,4237.983317,61.26666641,53.70000076,87.7501297371605,86.487134474321,3.03640065150264,26.6680722613426
"121","AHU2E",2021-03-03 12:00:00,61.08333333,1,1,0,1,1,21.48333359,68,4210.008382,62.35000038,53.70000076,88.859517889139,87.5623874965865,3.09788083056579,26.4920362715137
"122","AHU2E",2021-03-03 12:30:00,62.5,1,1,0,1,1,21.36666679,68,4088.44161,63.5,53.48333359,90.037175,89.013125,2.37507360436823,25.7270612308453
"123","AHU2E",2021-03-03 13:00:00,62.74999936,1,1,0,1,1,22.5,68,4180,63.83333333,53.20000076,90.3785249965865,89.269136844608,2.630618783005,26.3032045466667
"124","AHU2E",2021-03-03 13:30:00,63.78333282,1,1,0,1,1,20.96666686,68,3927.711711,64.98333359,52.89999962,91.5561827628395,90.327321974321,2.73804386690567,24.7156470178878
"125","AHU2E",2021-03-03 14:00:00,64.11666679,1,1,0,1,1,23.71666686,68,4283.76001,65.20000076,52.59999847,91.778060778278,90.6686726262995,2.69591855124203,26.9561281750863
"126","AHU2E",2021-03-03 14:30:00,66.01666641,1,1,0,1,1,26.25,68,4425.67334,66.83333206,52.59999847,93.450673696043,92.6143672371605,2.09963071743948,27.8491366312798
"127","AHU2E",2021-03-03 15:00:00,65.86666743,1,1,0,1,1,25.66666667,68,4483.656657,67.09999975,52.59999847,93.7237547439875,92.4607607816915,3.21241566027328,28.2140043459557
"128","AHU2E",2021-03-03 15:30:00,65.21666718,1,1,0,1,1,22.88333352,68,4158.63501,66.7833341,52.59999847,93.399473285105,91.795128025679,3.78483326691451,26.1687625126697
"129","AHU2E",2021-03-03 16:00:00,65.09999975,1,1,0,1,1,21.01666641,68,4097.086751,66.2833341,52.59999847,92.887448285105,91.6756547439875,2.81644908534576,25.7814619275098
"130","AHU2E",2021-03-03 16:30:00,65.41666794,1,1,0,1,1,21.96666654,68,4124.556763,66.66666667,52.59999847,93.2800000034135,91.999938803957,2.99506415864407,25.9543206223747
"131","AHU2E",2021-03-03 17:00:00,63.88333321,1,1,0,1,1,23.6833334,68,4248.160156,65.3333346,52.59999847,91.91460129713,90.4297273737005,3.57839743061855,26.7321113708774
